Business_Week,Palladium_Change,Palladium_Settle,Palladium_Volume,Palladium_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-08-16, 2006-08-22]",0.0,338.94000000000005,1432.2,,2006-08-22,13074.0,881.0,4706.0,1021.0,7697.0,0.0,106.825,792486.2,2305033.8,0.030000000000000027,84.858,2383.2,,18870.4,0.289,6.9791,83.2,,3935.0
"[2006-08-23, 2006-08-29]",0.0,343.06000000000006,1694.6,,2006-08-29,14073.0,881.0,4583.0,1900.0,8773.0,0.0,106.95625,1000051.4,2323386.4,-0.26999999999999996,85.082,1344.6,,18923.6,-0.0405,7.1696,376.4,,2162.8
"[2006-08-30, 2006-09-05]",0.0,344.125,422.5,,2006-09-05,11444.0,1289.0,4851.0,1045.0,7603.0,0.0,107.3046875,591776.5,2269876.0,0.15999999999999998,84.89200000000001,1219.8,,19968.0,0.06299999999999999,7.1911000000000005,9.4,,2233.6
"[2006-09-06, 2006-09-12]",0.0,330.36,33.8,,2006-09-12,11489.0,1446.0,4327.0,1027.0,7383.0,0.0,107.15,70353.2,2277428.8,0.94,85.648,6240.6,,21947.4,0.1775,7.359399999999999,137.2,,2221.0
"[2006-09-13, 2006-09-19]",0.0,311.95,5.4,,2006-09-19,10823.0,1520.0,3586.0,1121.0,6672.0,0.0,107.196875,19200.6,2306012.0,0.014999999999999944,85.86999999999999,1136.2,,16750.0,-0.045000000000000005,7.3543,51.0,,2086.6
"[2006-09-20, 2006-09-26]",0.0,310.77,3.8,,2006-09-26,10884.0,1098.0,3334.0,1273.0,7053.0,0.0,108.175,937843.4,2261759.8,-0.29000000000000004,85.08399999999999,2860.2,,18577.4,0.2485,7.6915,391.75,,3084.5
"[2006-09-27, 2006-10-03]",0.0,316.21999999999997,762.4,,2006-10-03,11344.0,1133.0,3510.0,1330.0,7117.0,0.0,108.19375,912709.2,2228200.6,0.11000000000000001,85.426,3698.0,,21804.0,0.21750000000000003,7.7974000000000006,153.8,,2986.0
"[2006-10-04, 2006-10-10]",0.0,300.58000000000004,739.2,,2006-10-10,11681.0,1466.0,3607.0,1266.0,6960.0,0.0,107.921875,1165711.25,2281716.25,1.3400000000000003,86.088,3273.4,,26241.8,-0.163,7.8634,216.8,,2230.0
"[2006-10-11, 2006-10-17]",0.0,315.39,590.8,,2006-10-17,11498.0,1337.0,3767.0,1254.0,6926.0,0.0,107.00625,976683.0,2419820.4,-0.13,86.77599999999998,3128.6,,33939.8,-0.1085,7.6209999999999996,214.8,,2164.2
"[2006-10-18, 2006-10-24]",0.0,328.95,1044.0,,2006-10-24,12139.0,1425.0,2907.0,1295.0,6985.0,0.0,106.94375,735809.8,2499685.2,-0.22000000000000006,86.334,3249.4,,35230.8,0.10250000000000001,7.645599999999999,42.0,,2091.2
"[2006-10-25, 2006-10-31]",0.0,324.25,895.0,,2006-10-31,12707.0,1459.0,4521.0,1252.0,7279.0,0.0,107.653125,1017715.2,2467547.2,-1.3099999999999998,85.54400000000001,5855.4,,32494.8,-0.3435,7.511,104.6,,2181.0
"[2006-11-01, 2006-11-07]",0.0,331.18999999999994,1111.0,,2006-11-07,12963.0,1396.0,4904.0,1173.0,7855.0,0.0,107.9375,1080627.8,2420069.4,0.13,85.324,2860.6,,33675.0,-0.091,7.3969000000000005,128.0,,3202.4
"[2006-11-08, 2006-11-14]",0.0,328.85,1930.4,,2006-11-14,12931.0,1301.0,4500.0,1028.0,7648.0,0.0,108.1875,918098.4,2373777.2,-0.15999999999999998,85.08399999999999,2645.8,,34606.8,-0.062,7.285300000000001,84.8,,3241.6
"[2006-11-15, 2006-11-21]",0.0,322.08000000000004,2251.6,,2006-11-21,12632.0,1236.0,3762.0,1329.0,7231.0,0.0,108.103125,1166657.6,2353032.4,0.04000000000000001,85.256,1669.2,,33495.6,-0.032,7.268299999999999,32.8,,3604.6
"[2006-11-22, 2006-11-28]",0.0,325.0875,2452.5,,2006-11-28,11506.0,1272.0,3180.0,1120.0,6893.0,0.0,108.58203125,1166028.75,2486386.5,-2.01,83.79399999999998,4293.2,,36145.4,-0.08400000000000002,7.166900000000001,80.0,,2411.0
"[2006-11-29, 2006-12-05]",0.0,327.72,737.0,,2006-12-05,11042.0,1431.0,3221.0,1086.0,6813.0,0.0,109.190625,503803.4,2290807.0,-0.71,82.68800000000002,4183.8,,39907.8,-0.05149999999999999,7.170699999999999,325.2,,1687.8
"[2006-12-06, 2006-12-12]",0.0,329.32,517.4,,2006-12-12,11196.0,1530.0,3289.0,1040.0,6712.0,0.0,108.896875,44313.6,2245432.8,0.56,82.97,6064.4,,45323.2,-0.0995,7.056699999999999,82.4,,1552.6
"[2006-12-13, 2006-12-19]",0.0,325.67,365.2,,2006-12-19,11185.0,1590.0,3093.0,854.0,6615.0,0.0,108.346875,14641.8,2256095.0,1.238,83.9032,1960.0,,43780.0,0.009500000000000001,6.990899999999999,80.4,,1239.6
"[2006-12-20, 2006-12-26]",0.0,325.2375,238.0,,2006-12-26,11332.0,1587.0,3144.0,922.0,6719.0,0.0,108.3671875,484666.25,2187903.25,0.57,83.737,653.75,,23270.0,0.048,7.072333333333333,278.3333333333333,,1495.3333333333333
"[2006-12-27, 2007-01-02]",0.0,332.8375,758.0,,2007-01-03,12459.0,1551.0,4224.0,1105.0,7459.0,0.0,107.6328125,393302.5,2200475.75,-0.8500000000000001,83.4125,2102.5,,28215.25,-0.165,7.059125,275.0,,1767.0
"[2007-01-03, 2007-01-09]",0.0,335.76,2141.8,,2007-01-09,12873.0,1535.0,4717.0,924.0,7669.0,0.0,107.8625,943248.6,2299049.0,1.5499999999999998,84.212,3493.8,,27407.2,0.4245,7.2426,270.2,,2902.4
"[2007-01-10, 2007-01-16]",0.0,333.75,947.4,,2007-01-16,12924.0,1500.0,4660.0,852.0,7792.0,0.0,107.34375,1046754.0,2324793.5,0.32999999999999996,84.87,2522.8,,23334.2,-0.107,7.301699999999999,218.0,,2586.8
"[2007-01-17, 2007-01-23]",0.0,345.65999999999997,1782.4,,2007-01-23,14479.0,1457.0,5961.0,897.0,8952.0,0.0,107.0625,991336.2,2350175.8,-0.37,84.69800000000001,1315.6,,20899.8,-0.11299999999999999,7.1964,168.6,,2124.4
"[2007-01-24, 2007-01-30]",0.0,347.16,1797.2,,2007-01-30,15607.0,1111.0,6068.0,873.0,9754.0,0.0,106.53125,946069.8,2400544.6,0.38,84.92,2343.2,,22028.0,0.1875,7.3113,111.0,,2266.4
"[2007-01-31, 2007-02-06]",0.0,342.02000000000004,1705.2,,2007-02-06,15654.0,1076.0,5950.0,929.0,9867.0,0.0,106.825,1225563.6,2419841.4,-0.22,84.648,3528.6,,23883.4,-0.14400000000000002,7.2321,181.0,,2843.4
"[2007-02-07, 2007-02-13]",0.0,342.04,2933.2,,2007-02-13,16358.0,1251.0,5610.0,961.0,9944.0,0.0,107.06875,1011607.6,2414897.4,-0.04999999999999999,84.69800000000001,2492.0,,24435.6,0.07000000000000002,7.2441,266.0,,3753.8
"[2007-02-14, 2007-02-20]",0.0,342.51000000000005,2147.0,,2007-02-20,15572.0,1125.0,4782.0,999.0,9382.0,0.0,107.5390625,1136114.75,2346413.0,-0.51,84.018,3436.4,,28651.0,-0.118,7.178400000000001,277.6,,6080.6
"[2007-02-21, 2007-02-27]",0.0,352.02,5479.4,,2007-02-27,17344.0,1335.0,5392.0,1868.0,10923.0,0.0,107.88125,1771206.0,2324057.0,-0.7,83.90799999999999,4422.0,,31090.4,0.098,7.127199999999999,601.8,,6058.4
"[2007-02-28, 2007-03-06]",0.0,347.12,159.4,,2007-03-06,15612.0,1220.0,5193.0,984.0,10463.0,0.0,108.7125,309321.4,2198797.0,0.63,83.77000000000001,2923.0,,32517.8,0.1635,7.3723,1149.6,,4244.4
"[2007-03-07, 2007-03-13]",0.0,352.86,478.4,,2007-03-13,15502.0,1248.0,5568.0,888.0,10620.0,0.0,108.7875,42642.0,2187792.6,-0.29,83.914,5946.2,,32450.4,0.066,7.3997,210.6,,1199.2
"[2007-03-14, 2007-03-20]",0.0,351.12,303.8,,2007-03-20,15320.0,1249.0,5367.0,950.0,10536.0,0.0,108.8,9216.0,2278135.4,-0.422,83.41319999999999,1464.4,,36208.4,-0.04300000000000001,7.4445,85.0,,980.4
"[2007-03-21, 2007-03-27]",0.0,356.01,433.6,,2007-03-27,15673.0,1391.0,5497.0,986.0,10539.0,0.0,108.48125,794826.8,2353691.2,0.22999999999999998,82.9256,1046.6,,23293.4,0.066,7.331625,492.5,,2582.25
"[2007-03-28, 2007-04-03]",0.0,356.11,1154.4,,2007-04-03,15692.0,1238.0,5566.0,977.0,10951.0,0.0,108.18125,1181975.8,2497935.4,0.18999999999999997,82.752,1828.4,,29227.4,-0.07050000000000001,7.3359999999999985,395.0,,1978.2
"[2007-04-04, 2007-04-10]",0.0,358.0,1501.75,,2007-04-10,16337.0,1205.0,6092.0,1007.0,11136.0,0.0,107.70625,619943.8,2528609.6,-0.43000000000000005,82.657,1502.0,,30733.4,-0.0515,7.192100000000001,362.0,,2066.8
"[2007-04-11, 2007-04-17]",0.0,376.85,2817.0,,2007-04-17,18857.0,1396.0,7968.0,954.0,12175.0,0.0,107.51875,935641.6,2591790.6,-0.8500000000000001,82.00500000000001,1785.4,,32081.2,-0.09050000000000001,7.1858,180.4,,2776.0
"[2007-04-18, 2007-04-24]",0.0,383.49,1983.4,,2007-04-24,19881.0,1508.0,8944.0,1008.0,12767.0,0.0,108.1,890982.2,2592685.0,-0.27,81.47,3010.2,,35799.0,-0.0365,7.084300000000001,99.6,,2867.2
"[2007-04-25, 2007-05-01]",0.0,375.81,2190.8,,2007-05-01,20105.0,1310.0,9616.0,1045.0,13439.0,0.0,108.1,1042064.2,2677620.0,0.06999999999999999,81.38,2173.2,,40599.6,-0.003500000000000003,7.0471,403.8,,3215.8
"[2007-05-02, 2007-05-08]",0.0,376.72,1894.2,,2007-05-08,20373.0,1278.0,9693.0,1073.0,13414.0,0.0,108.18125,924829.2,2749531.6,0.38,81.676,2823.2,,39158.8,-0.1305,6.9714,247.8,,4548.8
"[2007-05-09, 2007-05-15]",0.0,364.61,3260.4,,2007-05-15,19975.0,1297.0,9114.0,1128.0,12996.0,0.0,107.925,1177334.2,2824452.4,-0.15000000000000002,81.94399999999999,2200.8,,34880.2,0.004500000000000005,6.970299999999999,189.8,,5092.2
"[2007-05-16, 2007-05-22]",0.0,367.62,3291.6,,2007-05-22,19106.0,1272.0,8911.0,1089.0,12456.0,0.0,107.23125,1182842.8,2982278.2,0.65,82.19200000000001,1938.0,,32502.0,0.1285,7.0331,198.6,,5121.8
"[2007-05-23, 2007-05-29]",0.0,369.4,4774.8,,2007-05-29,19332.0,1344.0,8982.0,1611.0,12841.0,0.0,106.640625,1710798.75,3028935.25,-0.07,82.2675,1051.5,,30841.25,0.111,7.142875,625.5,,5759.75
"[2007-05-30, 2007-06-05]",0.0,368.92999999999995,1251.6,,2007-06-05,18107.0,810.0,8755.0,1105.0,12731.0,0.0,106.16875,662500.4,2817720.0,-0.38,82.15,3872.6,,29797.0,0.012499999999999997,7.1544,424.0,,4669.6
"[2007-06-06, 2007-06-12]",0.0,367.76000000000005,21.0,,2007-06-12,18198.0,836.0,8980.0,1114.0,12733.0,0.0,105.21875,50363.0,2842152.6,1.03,82.484,5442.2,,29338.0,0.04000000000000001,7.242,380.8,,2542.4
"[2007-06-13, 2007-06-19]",0.0,369.93,381.4,,2007-06-19,18634.0,834.0,9442.0,1111.0,12949.0,0.0,104.975,16148.6,2880196.0,-0.10599999999999998,82.9176,1688.4,,24835.0,-0.133,7.1501,55.4,,1757.8
"[2007-06-20, 2007-06-26]",0.0,375.06000000000006,1159.0,,2007-06-26,18165.0,713.0,9816.0,947.0,13786.0,0.0,105.13125,1119014.0,2843627.2,-0.22,82.30879999999999,3274.8,,17014.8,0.021500000000000002,7.21025,59.0,,1669.75
"[2007-06-27, 2007-07-03]",0.0,368.03999999999996,901.0,,2007-07-03,17549.0,965.0,9425.0,951.0,13099.0,0.0,105.59375,1096746.8,2793119.6,-0.8499999999999999,81.64399999999999,5198.8,,25822.6,-0.2185,7.114600000000001,286.6,,1772.0
"[2007-07-04, 2007-07-10]",0.0,369.31,706.8,,2007-07-10,17613.0,866.0,9635.0,950.0,13166.0,0.0,105.0078125,1351845.5,2867959.75,-0.5500000000000002,81.132,3804.4,,36680.2,0.03550000000000001,7.0545,279.8,,3766.0
"[2007-07-11, 2007-07-17]",0.0,370.19,934.0,,2007-07-17,17724.0,895.0,9870.0,944.0,13256.0,0.0,105.3375,1432070.8,2900734.8,-0.28,80.415,3091.6,,40766.2,-0.05450000000000001,7.046000000000001,89.0,,4297.0
"[2007-07-18, 2007-07-24]",0.0,372.46000000000004,1366.4,,2007-07-24,18966.0,795.0,10172.0,951.0,14525.0,0.0,106.075,1360366.6,2849855.6,-0.43999999999999995,80.164,2275.8,,44601.0,-0.115,6.928,209.0,,4383.4
"[2007-07-25, 2007-07-31]",0.0,366.23999999999995,1928.4,,2007-07-31,18623.0,1008.0,10039.0,981.0,13799.0,0.0,107.2375,2018819.8,2897800.2,0.73,80.602,4497.6,,44833.0,0.2805,7.1185,710.6,,5145.8
"[2007-08-01, 2007-08-07]",0.0,366.36,1390.4,,2007-08-07,18920.0,986.0,9937.0,949.0,13637.0,0.0,107.6125,1535359.8,3038008.6,-0.29000000000000004,80.385,3796.0,,42629.6,-0.056,7.1447,336.4,,2157.6
"[2007-08-08, 2007-08-14]",0.0,358.8,4287.2,,2007-08-14,17996.0,1552.0,9197.0,908.0,12147.0,0.0,107.43125,1542834.6,2979017.4,1.06,80.776,4698.4,,39074.2,0.247,7.217500000000001,89.4,,2068.0
"[2007-08-15, 2007-08-21]",0.0,332.12,5045.2,,2007-08-21,17677.0,1737.0,8097.0,1465.0,11053.0,0.0,108.70625,1473726.0,2879431.2,0.040000000000000036,81.53799999999998,4884.4,,29507.4,0.051000000000000004,7.4512,361.6,,3629.4
"[2007-08-22, 2007-08-28]",0.0,328.51000000000005,2945.2,,2007-08-28,17819.0,2001.0,7924.0,1749.0,10719.0,0.0,108.93125,1254852.8,2632942.8,-0.75,80.874,2563.0,,23399.4,-0.113,7.266,64.8,,3442.4
"[2007-08-29, 2007-09-04]",0.0,331.69,1973.4,,2007-09-04,16511.0,2374.0,8306.0,1127.0,10283.0,0.0,109.5703125,968494.0,2374718.75,0.13,80.752,1706.0,,23071.6,-0.0735,7.2047,230.4,,2222.0
"[2007-09-05, 2007-09-11]",0.0,336.04,411.6,,2007-09-11,16264.0,2449.0,7838.0,1584.0,9925.0,0.0,110.66875,136531.2,2315799.2,-1.1800000000000002,80.08200000000001,7491.8,,29631.6,-0.05650000000000001,7.234,159.4,,2431.8
"[2007-09-12, 2007-09-18]",0.0,333.77,584.4,,2007-09-18,15817.0,2615.0,7028.0,1953.0,9348.0,0.0,110.2,36372.0,2237809.4,-0.01799999999999996,79.5488,1823.4,,37139.4,0.0,7.1654,62.6,,1988.0
"[2007-09-19, 2007-09-25]",0.0,340.21999999999997,746.0,,2007-09-25,15799.0,2441.0,6794.0,1740.0,9615.0,0.0,109.0625,916618.8,2233733.2,-0.995,78.64540000000001,3921.4,,31379.0,-0.10800000000000001,7.0973749999999995,99.5,,1987.5
"[2007-09-26, 2007-10-02]",0.0,351.64,2181.2,,2007-10-02,15946.0,2190.0,6847.0,1700.0,9738.0,0.0,109.334375,1036192.2,2295730.6,0.004999999999999949,78.056,3692.8,,40039.8,-0.05849999999999998,6.9763,145.2,,2466.0
"[2007-10-03, 2007-10-09]",0.0,366.16999999999996,2444.8,,2007-10-09,16109.0,2019.0,7764.0,1613.0,9818.0,0.0,109.1328125,960335.25,2418316.5,0.21000000000000002,78.407,2763.8,,40226.6,-0.050500000000000024,6.9460999999999995,1062.4,,4550.2
"[2007-10-10, 2007-10-16]",0.0,377.15999999999997,2422.0,,2007-10-16,16260.0,2075.0,8472.0,1086.0,10191.0,0.0,108.65,1040803.2,2481128.8,-0.21999999999999997,78.135,2155.8,,40272.6,0.00849999999999998,6.8837,87.6,,5950.0
"[2007-10-17, 2007-10-23]",0.0,369.3,1095.6,,2007-10-23,16714.0,1929.0,8791.0,1046.0,10359.0,0.0,110.2125,1332339.0,2543804.2,-0.665,77.696,3350.0,,40689.0,-0.191,6.8623,537.8,,7123.6
"[2007-10-24, 2007-10-30]",0.0,370.55,2524.4,,2007-10-30,16473.0,1983.0,8223.0,969.0,10672.0,0.0,110.76875,1061820.6,2551213.6,-0.795,77.05199999999999,2242.0,,40555.4,-0.1635,6.622199999999999,667.2,,6800.8
"[2007-10-31, 2007-11-06]",0.0,375.39,1782.8,,2007-11-06,17698.0,2254.0,8954.0,1187.0,11374.0,0.0,110.8375,1553435.2,2589016.8,-0.7000000000000001,76.348,4494.6,,41621.0,-0.028499999999999998,6.5824,114.2,,5873.4
"[2007-11-07, 2007-11-13]",0.0,372.98,2844.0,,2007-11-13,17966.0,1971.0,9284.0,1059.0,11766.0,0.0,111.625,1402540.75,2748469.25,-0.13,75.61399999999999,5809.2,,37786.2,0.18649999999999997,6.6744,184.4,,6190.0
"[2007-11-14, 2007-11-20]",0.0,364.75,3962.4,,2007-11-20,17371.0,1789.0,8856.0,1294.0,11747.0,0.0,112.51875,1455558.0,2702162.0,-0.69,75.746,2390.4,,37288.0,0.016499999999999987,6.7483,555.2,,6611.4
"[2007-11-21, 2007-11-27]",0.0,354.12,3583.6,,2007-11-27,16698.0,1772.0,7671.0,1963.0,11472.0,0.0,113.84765625,1542691.0,2630163.0,-0.13,75.03099999999999,2195.8,,37809.8,0.27749999999999997,6.922300000000002,316.8,,6095.2
"[2007-11-28, 2007-12-04]",0.0,344.13,1424.0,,2007-12-04,14761.0,1674.0,7321.0,1282.0,10643.0,0.0,114.115625,1042112.0,2597312.4,0.6450000000000001,75.71000000000001,3992.2,,37463.4,-0.19699999999999998,6.8526,195.2,,2032.0
"[2007-12-05, 2007-12-11]",0.0,345.78000000000003,35.4,,2007-12-11,14332.0,1568.0,7127.0,1232.0,10248.0,0.0,113.95,87472.8,2499110.4,0.535,76.314,5028.4,,39180.4,-0.08549999999999999,6.7482,279.8,,1924.8
"[2007-12-12, 2007-12-18]",0.0,353.25,2.6,,2007-12-18,14511.0,1467.0,7421.0,1113.0,10198.0,0.0,113.3125,22950.6,2349705.2,1.2049999999999998,77.023,7614.0,,49985.6,0.1725,6.8419,50.0,,1696.2
"[2007-12-19, 2007-12-25]",0.0,357.3625,62.5,,2007-12-24,15192.0,1434.0,7323.0,1778.0,10794.0,0.0,112.94921875,347713.5,2195561.5,-0.06,77.64375000000001,1162.0,,26210.5,-0.058,7.058333333333334,143.0,,2671.3333333333335
"[2007-12-26, 2008-01-01]",0.0,369.575,881.0,,2007-12-31,15978.0,1265.0,8220.0,1573.0,11265.0,0.0,112.52734375,294910.0,2138737.25,-0.8599999999999999,76.67875000000001,3887.0,,32952.25,-0.1335,6.991625,190.25,,3179.75
"[2008-01-02, 2008-01-08]",0.0,377.91,1406.6,,2008-01-08,17154.0,1195.0,9208.0,936.0,12383.0,0.0,114.80625,1065731.6,2215126.0,-0.58,76.014,3385.0,,34682.0,0.006999999999999992,6.9723,143.0,,3399.2
"[2008-01-09, 2008-01-15]",0.0,383.33000000000004,982.6,,2008-01-15,17992.0,1147.0,9491.0,899.0,13152.0,0.0,115.4625,1154294.8,2339194.2,-0.46,75.97200000000001,3379.2,,37156.0,-0.05199999999999999,6.9014,72.0,,3289.2
"[2008-01-16, 2008-01-22]",0.0,372.6,1303.8,,2008-01-22,18074.0,1087.0,9904.0,881.0,13361.0,0.0,116.76953125,1523717.0,2468131.25,0.8799999999999999,76.536,5147.6,,37498.2,0.274,7.168699999999999,332.6,,3243.6
"[2008-01-23, 2008-01-29]",0.0,383.12,1605.2,,2008-01-29,20676.0,990.0,11373.0,1151.0,15370.0,0.0,117.090625,1546733.2,2582218.0,-0.8749999999999999,75.985,2833.6,,36591.6,0.0895,7.227500000000001,397.4,,2456.8
"[2008-01-30, 2008-02-05]",0.0,411.2900000000001,3225.6,,2008-02-05,20320.0,633.0,9631.0,1053.0,15319.0,0.0,116.803125,1253967.0,2545635.8,0.6199999999999989,75.549,5312.8,,45016.6,0.44249999999999995,7.5339,355.0,,1972.5
"[2008-02-06, 2008-02-12]",0.0,433.53000000000003,3051.4,,2008-02-12,20296.0,641.0,8837.0,844.0,14977.0,0.0,117.028125,1189694.8,2558647.6,0.16500000000000004,76.685,3199.8,,39822.8,0.05499999999999999,7.8069999999999995,0.0,,2468.5
"[2008-02-13, 2008-02-19]",0.0,460.23,3239.8,,2008-02-19,20607.0,823.0,8743.0,689.0,14979.0,0.0,116.3203125,1385144.25,2589617.75,-0.37499999999999994,76.28699999999999,2345.6,,37567.8,-0.03900000000000001,7.736700000000001,4.0,,3304.25
"[2008-02-20, 2008-02-26]",0.0,517.3199999999999,4644.6,,2008-02-26,22230.0,679.0,8423.0,1462.0,16925.0,0.0,115.971875,1574110.8,2487668.2,-1.285,75.56400000000001,3560.8,,40659.0,-0.15649999999999997,7.7754,6.8,,4264.0
"[2008-02-27, 2008-03-04]",0.0,571.8800000000001,1235.0,,2008-03-04,21466.0,999.0,8031.0,1032.0,15146.0,0.0,117.834375,965843.8,2401136.0,-1.095,73.84400000000001,3240.0,,36067.2,0.35650000000000004,7.7435,43.4,,3323.2
"[2008-03-05, 2008-03-11]",0.0,509.35,25.4,,2008-03-11,20606.0,964.0,8200.0,880.0,15530.0,0.0,118.928125,94220.6,2269772.4,-0.405,73.177,10436.6,,50535.2,-0.095,7.9679,32.6,,2375.6666666666665
"[2008-03-12, 2008-03-18]",0.0,496.91,6.8,,2008-03-18,20216.0,1052.0,8057.0,863.0,15240.0,0.0,120.521875,25258.6,2199288.8,-1.9859999999999998,71.7586,7629.2,,57485.4,0.29350000000000004,7.961,23.5,,2057.5
"[2008-03-19, 2008-03-25]",0.0,448.4125,5.25,,2008-03-25,20188.0,1056.0,8717.0,771.0,14958.0,0.0,119.6875,324002.5,2116342.0,-0.74,72.6635,3870.25,,32739.75,0.13999999999999999,8.303125000000001,3.25,,839.75
"[2008-03-26, 2008-04-01]",0.0,446.52,676.8,,2008-04-01,19649.0,1227.0,8090.0,997.0,14434.0,0.0,118.478125,818727.2,2065745.6,0.2749999999999999,72.23100000000001,4670.8,,42145.2,-0.05450000000000003,8.2068,1.6,,1147.0
"[2008-04-02, 2008-04-08]",0.0,447.9599999999999,1464.4,,2008-04-08,19201.0,1100.0,7047.0,975.0,13628.0,0.0,117.621875,800597.6,2054662.0,-0.43499999999999994,72.509,2623.0,,41817.6,-0.22150000000000003,7.9413,0.6,,1229.6
"[2008-04-09, 2008-04-15]",0.0,461.53000000000003,853.6,,2008-04-15,19764.0,1160.0,7353.0,880.0,13768.0,0.0,117.853125,843249.6,2076452.2,-0.23999999999999996,72.20500000000001,4306.0,,42880.8,0.1385,7.987900000000001,0.0,,804.8
"[2008-04-16, 2008-04-22]",0.0,457.53999999999996,929.2,,2008-04-22,19686.0,1119.0,7493.0,908.0,13743.0,0.0,116.346875,905833.6,2078854.6,-0.75,71.849,8841.0,,43134.2,-0.31500000000000006,7.890799999999999,0.0,,684.2
"[2008-04-23, 2008-04-29]",0.0,438.4,979.8,,2008-04-29,19410.0,1408.0,7161.0,1061.0,13098.0,0.0,115.4375,787803.4,2065548.0,1.565,72.75200000000001,6043.0,,40405.0,-0.049,7.719499999999999,0.4,,1046.2
"[2008-04-30, 2008-05-06]",0.0,421.16,1182.0,,2008-05-06,19590.0,1337.0,7431.0,961.0,13287.0,0.0,115.2875,836317.0,2105364.0,0.06999999999999995,73.28800000000001,6240.4,,34367.0,-0.098,7.655099999999999,0.0,,1922.3333333333333
"[2008-05-07, 2008-05-13]",0.0,437.82000000000005,1855.0,,2008-05-13,20268.0,1265.0,7340.0,962.0,13215.0,0.0,115.584375,956048.2,2095764.0,0.26,73.42699999999999,5470.4,,33574.2,0.0315,7.6937,0.0,,2668.3333333333335
